Credor;Modalidade Contratação;Fase;Contrato;Inscrição Siafi;Moeda de origem;Saldo Devedor na Moeda;Saldo Devedor em Dolar;Saldo Devedor em Reais
;Credores Privados Vencimento Variável;;;;;579.473.922,25;663.845.325,33;2.572.267.866,59
;;Desembolsando e Amortizando;SOCGENPROJ-HX;1601;EUR;579.473.922,25;663.845.325,33;2.572.267.866,59
;;;;;;920.365.361,04;920.634.013,68;3.567.272.676,21
BID;;;;;;287.443.569,74;287.443.569,74;1.113.786.344,03
;BID Libor Based USD;;;;;171.074.158,12;171.074.158,12;662.878.147,88
;;Amortizando;BID2791/OCBR;1604;USD;3.752.035,69;3.752.035,69;14.538.387,89
;;Amortizando;BID1841/OCBR;501961;USD;3.360.172,08;3.360.172,08;13.019.994,78
;;Desembolsando;BID3142/OCBR;1637;USD;6.300.000,00;6.300.000,00;24.411.240,00
;;Desembolsando e Amortizando;BID2580/OCBR;1617;USD;5.420.926,22;5.420.926,22;21.005.004,92
;;Em negociação;BID4732/OCBR;12677;USD;0;0;0
;;Desembolsando;BID3391/OCBR;11771;USD;14.000.000,00;14.000.000,00;54.247.200,00
;;Amortizando;BID1811/OCBR;1543;USD;1.475.620,86;1.475.620,86;5.717.735,71
;;Amortizando;BID2192/OCBR;1593;USD;3.796.365,36;3.796.365,36;14.710.156,50
;;Amortizando;BID2248/OCBR;1600;USD;120.623.123,07;120.623.123,07;467.390.477,27
;;Desembolsando;BID2919/OCBR;1631;USD;7.021.936,41;7.021.936,41;27.208.599,20
;;Amortizando;BID2229/OCBR;1588;USD;2.510.435,40;2.510.435,40;9.727.435,09
;;Amortizando;BID1864/OCBR;1564;USD;2.813.543,03;2.813.543,03;10.901.916,53
;BID SCF USD - Facilidade Unimonetaria;;;;;116.369.411,62;116.369.411,62;450.908.196,15
;;Amortizando;BID1194/OCBR-C;1372;USD;70.267.010,86;70.267.010,86;272.270.613,68
;;Amortizando;BID1718/OCBR;1538;USD;31.321.262,62;31.321.262,62;121.363.628,40
;;Amortizando;BID1628/OCBR;1511;USD;14.781.138,14;14.781.138,14;57.273.954,06
BIRD;;;;;;631.506.126,52;631.506.126,52;2.446.959.939,04
;BIRD FSL Libor 6 meses + Spread Fixo;;;;;3.625.000,00;3.625.000,00;14.046.150,00
;;Desembolsando;BIRD8813-BR;12421;USD;3.072.500,00;3.072.500,00;11.905.323,00
;;Desembolsando;BIRD8812-BR;12676;USD;552.500,00;552.500,00;2.140.827,00
;BIRD VSL assinado após julho de 2009;;;;;252.386.950,33;252.386.950,33;977.948.955,14
;;Desembolsando e Amortizando;BIRD7841-BR;1603;USD;169.225.653,67;169.225.653,67;655.715.562,84
;;Amortizando;BIRD7901-BR;1589;USD;31.362.503,04;31.362.503,04;121.523.426,78
;;Desembolsando;BIRDTF019211;1636;USD;1.260.000,00;1.260.000,00;4.882.248,00
;;Desembolsando;BIRD8095-BR;1621;USD;32.208.050,40;32.208.050,40;124.799.753,69
;;Desembolsando e Amortizando;BIRD8074-BR;502030;USD;18.330.743,22;18.330.743,22;71.027.963,83
;BIRD VSL USD Aprovado entre 28/09/07 e 30/11/09;;;;;70.111.654,78;70.111.654,78;271.668.639,94
;;Amortizando;BIRD7782-BR;1563;USD;3.086.108,39;3.086.108,39;11.958.052,79
;;Amortizando;BIRD7632-BR;1510;USD;67.025.546,39;67.025.546,39;259.710.587,15
;Fixed Spread Loan - Taxa Fixa;;;;;272.283.803,00;272.283.803,00;1.055.045.279,86
;;Amortizando;BIRD7338-BR;1549;USD;378.742,24;378.742,24;1.467.550,43
;;Amortizando;BIRD7545-BR;1560;USD;26.603.239,59;26.603.239,59;103.082.232,76
;;Amortizando;BIRD7299-BR;1476;USD;191.631.130,00;191.631.130,00;742.532.302,52
;;Amortizando;BIRD7386-BR;1573;USD;49.920.000,00;49.920.000,00;193.430.016,00
;;Amortizando;BIRD7428-BR;1541;USD;1.977.797,25;1.977.797,25;7.663.568,78
;;Amortizando;BIRD7331-BR;1523;USD;1.772.893,92;1.772.893,92;6.869.609,36
;Fixed Spred Loan USD de 26/11/02 até 16/05/07;;;;;12.193.497,65;12.193.497,65;47.247.364,69
;;Amortizando;BIRD7227-BR;1501;USD;12.193.497,65;12.193.497,65;47.247.364,69
;Fixed Spred Loan USD posterior a 16/05/2007;;;;;20.905.220,76;20.905.220,76;81.003.549,40
;;Amortizando;BIRD7383-BR;1493;USD;20.905.220,76;20.905.220,76;81.003.549,40
FIDA;;;;;;1.415.664,78;1.684.317,42;6.526.393,14
;FIDA;;;;;1.415.664,78;1.684.317,42;6.526.393,14
;;Desembolsando e Amortizando;FIDA436-SDR;1619;SDR;255.023,85;354.687,17;1.374.341,85
;;Desembolsando e Amortizando;FIDA437;11770;EUR;1.160.640,93;1.329.630,25;5.152.051,29
